604 142 {'mean_speed': 23.4, 'name': 3446, 'time': 59.53, 'length': 386.96, 'hist_speed': array([0. , 0.1, 0.9, 0. ]), 'stochastic_time': array([92.87, 92.87, 92.87, 92.87, 92.87])}
604 342 {'mean_speed': 37.26, 'name': 3899, 'time': 14.23, 'length': 147.23, 'hist_speed': array([1., 0., 0., 0.]), 'stochastic_time': array([35.34, 35.34, 35.34, 35.34, 35.34])}
604 442 {'mean_speed': 30.78, 'name': 4110, 'time': 22.18, 'length': 189.62, 'hist_speed': array([0., 1., 0., 0.]), 'stochastic_time': array([45.51, 45.51, 45.51, 45.51, 45.51])}
790 874 {'mean_speed': 32.33, 'name': 1803, 'time': 45.03, 'length': 404.41, 'hist_speed': array([0., 1., 0., 0.]), 'stochastic_time': array([97.06, 97.06, 97.06, 97.06, 97.06])}
790 142 {'mean_speed': 31.75, 'name': 3447, 'time': 35.19, 'length': 310.34, 'hist_speed': array([0.1, 0.9, 0. , 0. ]), 'stochastic_time': array([74.48, 74.48, 74.48, 74.48, 74.48])}
790 667 {'mean_speed': 31.41, 'name': 4588, 'time': 38.38, 'length': 334.9, 'hist_speed': array([0.1, 0.8, 0.1, 0. ]), 'stochastic_time': array([80.38, 80.38, 80.38, 80.38, 80.38])}
790 727 {'mean_speed': 31.82, 'name': 4690, 'time': 21.04, 'length': 186.01, 'hist_speed': array([0.3, 0.7, 0. , 0. ]), 'stochastic_time': array([44.64, 44.64, 44.64, 44.64, 44.64])}
153 886 {'mean_speed': 40.98, 'name': 432, 'time': 19.13, 'length': 217.79, 'hist_speed': array([0.9, 0.1, 0. , 0. ]), 'stochastic_time': array([52.27, 52.27, 52.27, 52.27, 52.27])}
153 872 {'mean_speed': 28.7, 'name': 433, 'time': 42.06, 'length': 335.35, 'hist_speed': array([0., 1., 0., 0.]), 'stochastic_time': array([80.48, 80.48, 80.48, 80.48, 80.48])}
153 865 {'mean_speed': 38.4, 'name': 434, 'time': 55.34, 'length': 590.27, 'hist_speed': array([1., 0., 0., 0.]), 'stochastic_time': array([141.66, 141.66, 141.66, 141.66, 141.66])}
